Publishing house		Activity years		Places	Fill in only if  Palestine		number, address						Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (public)		any other note (private)
Name @en	Name @ar	From year	To year	City	District	Country	Street address	Phone number	Email	Webpage	Political affiliation	Union affiliation	Literary event	Relation to event	Founder name @en	Founder name @ar	Founder name 2 @ar	Sources private	Sources public	Notes	Other notes
	٣٠ اار			Nazareth		Palestine															
	ابوغوش للنشر والتوزيع			Jerusalem		Palestine		00 972 505464421	abugoshco@gmail.com	https://www.facebook.com/pages/category/Retail-Company/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%B9%D8%AF%D9%86%D8%A7%D9%86-%D8%A7%D8%A8%D9%88-%D8%BA%D9%88%D8%B4-1961013247478545/						ابو غوش, عدنان	الرفاعي, هبة	book.com/pg/مكتبة-عدنان-ابو-غوش-1961013247478545/about/?ref=page_internal			
	أرض الرباط للنشر	2006		Qalqilya		Palestine		00 970 092940032								شريم, مروان			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	ابن رشد للنشر	2006		Gaza		Palestine		00 970 08288337											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	البشير	1996		Gaza		Palestine		00 970 0868388								الدلو,  جواد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	بيت المقدس للنشر والتوزيع			Jerusalem		Palestine												https://simania.co.il/publisherDetails.php?itemId=173660			
	اتحاد الشباب الفلسطيني	1992		Ramallah		Palestine	رام الله، شارع النزهة، عمارة البرج الأخضر ط (3-)	00 972 22981313	pyu@pyu-pal.org	http://www.pyu-pal.org/ar	Palestinian National Authority	اتحاد الشباب الفلسطيني							Supported by IROMED, EU, PNA Ministry of Culture, Together for Change, UNDP		
	اتحاد الكتاب  والادباء الفلسطينيين			Ramallah		Palestine		00 970 599757704	gupw2010@gmail.com	http://www.gupw.ps/		اتحاد الكتاب  والادباء الفلسطينيين						Link about union members based in West Bank, Gaza, diaspora and 1948 territories listed as تحت الانشاء or in construction			
	اتحاد الكتاب  والادباء الفلسطينيين			Gaza		Palestine		00 970 599772770	gupw18@gmail.com	http://www.gupw.ps/								Link about union members based in West Bank, Gaza, diaspora and 1948 territories listed as تحت الانشاء or in construction			
	اتحاد الكتاب الفلسطينيين			Nablus		Palestine				http://www.gupw.ps/		اتحاد الكتاب الفلسطينيين							https://www.palestinapedia.net/%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%84%D9%84%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%A7%D9%84%D8%B5%D8%AD%D9%81%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D9%81%D9%84%D8%B3/	Union under this name stopped in 1999 after members decided to divide profession of literary writing from that of journalism	
	الاتحاد العام للكتاب والصحافيين الفلسطينيين	1966	1999	Gaza		Palestine				http://www.gupw.ps/		الاتحاد العام للكتاب والصحافيين الفلسطينيين									
	الأدبية للطباعة والنشر	1997		Hebron		Palestine		00 970 9927284								الشوابكة, جمال			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	اصدار الشرق			Tel Aviv		Israel				http://www.gupw.ps/											
	بلدية البيرة قسم شؤون الثقافة			Al-Bira		Palestine	البيرة - شارع البلدية	 00 970 20 2404737 		https://www.al-bireh.ps/facilities/cultural_community	Palestinian National Authority										
	بلدية نابلس			Nablus		Palestine		00 970 92390000	nablus@nablus.org	http://nablus.org/index.php/en/	Palestinian National Authority										
	بيت الامل			Shafa Amr		Israel	PO Box 218, Nablus			https://www.facebook.com/menhon/posts/982336101941952/											
	بيت الشعر وزارة الثقافة			Ramallah		Palestine				https://www.facebook.com/%D8%A8%D9%8A%D8%AA-%D8%A7%D9%84%D8%B4%D8%B9%D8%B1-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D8%A9-1259888840801425/	Palestinian National Authority							Reference to بيت الشعر    http://www.moc.pna.ps/article/1912/%D8%A8%D9%8A%D8%AA-%D8%A7%D9%84%D8%B4%D8%B9%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AF%D9%89-%D8%A7%D9%84%D8%AA%D9%86%D9%88%D9%8A%D8%B1%D9%8A-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A-%D9%8A%D8%AA%D9%81%D9%82%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%A5%D9%82%D8%A7%D9%85%D8%A9-%D9%88%D8%B1%D8%B4%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%B4%D8%B9%D8%B1%D9%8A%D8%A9	http://www.moc.pna.ps/		
	تيلي بال للنشر	1995		Al-Bira		Palestine		00 970 2952586								اللبدي, محمد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	جامعة بيت لحم	1973		Bethlehem		Palestine	Rue des Freres # 9, Bethlehem	00 972 1241 274	communications@bethlehem.edu	https://www.bethlehem.edu/arabic											
	جامعة بير زيت	1975		Bir Zeit		Palestine				https://www.birzeit.edu/											
	جامعة القدس المفتوحة	1991		Ramallah		Palestine	Ramallah, Palestine	00 970 2 29645714	info@qou.edu	https://portal.qou.edu/portalLogin.do											
	جامعة النجاح الوطنية	1977		Nablus		Palestine			info@najah.edu	https://www.najah.edu/ar/											
	الجرمق للنشر والتوزيع	2003		Bethlehem		Palestine		00 970 050637286								علقم, جميلة		Alternative first name in brackets (امل)	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	جمعية مركز اوغاريت للنشر والتوزيع	2005		Ramallah		Palestine		00 970 2405974								أبو بكر, وليد					
	الجمعية الفلسطينية الاكاديمية للشؤون الدولية			Jerusalem		Palestine	جامعة النجاح الوطنية – الحرم الجامعي القديم	00 970  92345115	info@njah.edu	https://www.najah.edu/ar/						خليل, سميحة				خليل, سميحة	
	جمعية إنعاش الاسرة	1965		Al-Bira		Palestine				https://www.youtube.com/channel/UCTUN1btK68n3gsaV_ZYbBbQ									https://prezi.com/view/K49owb1q6iwv1wnlMSbj/		
	جمعية جذور السلام	2000		Bethlehem		Palestine		00 970 2740006		https://www.facebook.com/BeitPress/posts/194375210710553/						طقاطقة, عيسى			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	جمعية الدراسات العربية			Jerusalem		Palestine				http://www.arabstudiessociety.org/											
	الجمعية العلمية الفلسطينية			Nablus		Palestine															
	الجمعية العلمية الفلسطينية للابداع والتطوير	2012		Jericho		Palestine													https://www.maannews.net/news/481363.html		
	جمعية العنقاء الثقافية			Hebron		Palestine													https://www.albsed.com/28483/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D9%86%D9%82%D8%A7%D8%A1-%D8%AA%D8%B9%D8%B1%D8%B6-%D8%A3%D9%81%D9%84%D8%A7%D9%85-%D9%88%D8%AA%D9%86%D9%81%D8%B0-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D8%AB%D9%82%D8%A7%D9%81%D9%8A%D8%A9-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%86%D8%B4%D9%88%D9%81-%D9%81%D9%8A%D9%84%D9%85	Not the same  جمعية العنقاء للتنمية المجتمعية في غزة https://www.wattan.net/ar/news/293346.html	
	جمعية الصداقة الفلسطينيية اليونانية			Jerusalem		Palestine													http://www.wbn.ps/news/%D8%A8%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%8A%D9%88.html		
Arab Thought Forum	جمعية الملتقى الفكري العربي			Jerusalem		Palestine				https://www.facebook.com/ATF.multaqa/									https://www.nli.org.il/en/books/NNL_ALEPH003873427/NLI		
	حسونة	1996		Gaza		Palestine		00 970 0 863729													
	حنين للنشر والتوزيع	1999		Ramallah		Palestine		00 970 2951573								   علي, صبحي محمد  			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الخيمة جمعية للتربية والتنمية			Al-Tayyiba		Palestine															
	الدار الفلسطينية	1995		Nablus		Palestine										الظافر, عمر			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الدار العربية للنشر	1996		Ramallah		Palestine															
