Include political parties, trade unions, POI (e.g. cafe), and holding institutions		Activity years		Places	Fill in only if  Palestine		number, address	Free text: if there is no street address	Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (private)	any other note (private)
Organisation or POI	Type	From year	To year	City	District	Country	Street address	Description	Literary event	Relation to event	Phone number	Email	Webpage	Sources private	Sources public	Other notes
Academia di Bella Arti	College	1870		Rome		Italy										
Acre government high school	School			Acre		Palestine		Primary school, running in Ottoman and Mandate era								
Al-Qattan Foundation	Cultural organisation			London		United Kingdom		Funding by Al-Qattan to fund Palestinian cultural activity						Furani 2012, Chapter 8, pp. 120-121		
Algerian Ministry of Culture	Cultural organisation			Alger		Algeria										
Ambassade de la Palestine en Tunisie	Political organisation			Tunis												
American University of Beirut	University			Beirut		Lebanon										
Arab League Educational Cultural and Scientific Organization (ALECSO)	Cultural organisation			Tunis												
Beirut Theater	Theatre			Beirut		Lebanon										
Casbah Cafe	Cultural organisation			Ramallah		Palestine		Where Palestinian intellectuals  meet						Furani 2012, Chapter 10, pp. 177- 178		
Cité de la Culture	Cultural organisation			Tunis												
Columbia University	University			New York City		United States										
Corcoran School of the Arts and Design	College	1878		Washington D.C.		United States										
École Pratique des Hautes Études	University			Paris		France										
El Colegio de México, A.C.	University	1940														
Hartford Theological Seminary	College	1885		Hartford		United States										
Higher Council for Culture in Egypt	Cultural organisation			Cairo		Egypt										
Ibn Rushd for Freedom of Thought	Cultural organisation	1998		Berlin		Germany		Cultural organisation which works to promote understanding between Arab world and other cultures; Gives out annual prize to a writer, artist or person								
Institut des Belles Lettres Arabes (IBLA)	Research organisation			Tunis												
Institute of Higher Studies Berlin	Research organisation			Berlin		Germany										
International Parliament of Writers	Cultural organisation	1993	2004	Paris		France		International cultural network seeking to protect writers, esp. in situations of censorship								
King Abdullah Bin Abdulaziz International Award for Translation																
Kuwait Ministry of Culture	Cultural organisation			Kuwait City		Kuwait										
Le Gai Savoir	Bookshop			Tunis												
Lebanese Armerican University	University			Beirut		Lebanon										
McGill University	University			Montreal		Canada										
Médecins Sans Frontières		1968														
Middle East Studies Association of North America	Association															
National Liberation League	Political party			Haifa		Israel		Pre-1948 Palestine liberation group, illegal in Mandate era								
New York University	University			New York City		United States										
Orient House	Cultural organisation			Jerusalem		Palestine		Cultural centre for Palestinian culture; guarded by Israelis		frequented by				Furani 2012, Chapter 9, pp. 155- 157		شحادة, ادمون
Palestine Broadcasting Service	Radio Broadcasting service	1936	1948	Jerusalem		Palestine		Radiio Broadcasting Service set by during Mandate era						Nassar 2017, source 3, chapter 1		Habibi, Emil was radio host
Palestine Liberation Organisation	Political party			Gaza		Palestine			private-meet-gaza-19987	organised by						
Palestinian House of Poetry	Cultural organisation			Ramallah		Palestine		Ramallah-based venue								
Palestinian National Authority									private-meet-gaza-19987	took place at						
Palestinian Studies Magazine	Magazine publisher			Berlin		Germany										
Russian Teachers College				Nazareth		Palestine		Graduate school for new teachers in Palestine						Nassar 2017, source 36, chapter 1		
Sheikh Zayed Book Award	Association			Abu Dhabi		United Arab Emirates										
St Luke's Missionary School	School			Haifa		Palestine		Primary school, running in Ottoman and Mandate era								
Swarthmore College	College	1864				United States										
Teachers College for Women Jerusalem	College			Jerusalem		Israel										
The Arab Hebrew Theatre	Theatre	1998		Jaffa		Israel	10 Mifratz Shlomo promenade				03-5185563	info@jaffatheatre.org.il	http://www.arab-hebrew-theatre.org.il	https://box.fu-berlin.de/f/58405598	https://khazaaen.wordpress.com/2018/02/25/%D8%B9%D9%86-%D9%86%D9%82%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D9%85%D8%AB%D9%84%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%AF%D8%B3/	
Universidad Nacional Autónoma de México	University	1551														
University of Algiers	University			Alger		Algeria										
University of Constantine	University			Constantine		Algeria										
University of Khartoum	University			Khartoum		Sudan										
University of London	University			London		United Kingdom										
University of Michigan	University			Ann Arbor		United States										
University of Texas	University			Austin		United States										
University of Utah	University			Salt Lake City		United States										
University of Washington	University			Seattle		United States										
Wissenschaftskolleg zu Berlin	Research organisation			Berlin		Germany										
اتحاد الشبيبة الديمقراطية بالناصرة	Political organisation			Nazareth		Palestine										
الأرشيف الوطني التونسي	Archive			Tunis												
الجامعة اللبنانية	University			Beirut		Lebanon										
الحركة الإسلامية	Political party		2015	Umm Al-Fahm		Palestine										Banned in 2015
الحزب الشيوعي الإسرائيلي	Political party	1948				Israel										
السفير‎	Magazine publisher	1974	2016	Beirut		Lebanon								https://en.wikipedia.org/wiki/As-Safir		
الطريق	Magazine publisher															
الكرمل	Magazine publisher															
الكلية الأرثوذكسية العربية في حيفا	College			Haifa		Israel			L3014	took place at						
الكلية العربية بالقدس	College	1918	1948	Jerusalem		Palestine	جبل المكبر									
الكلية العسكرية ببغداد	College			Baghdad		Iraq										
المدرسة الابتدائية بحيفا	School			Haifa		Palestine										
المدرسة الثانوية بالناصرة	School			Nazareth		Palestine										
المدرسة المأمونية	School			Jerusalem		Israel										
المقهى الثقافي	Café			Cairo		Egypt		Largestinternational  long-running book fair in MENA						Furani 2012, Chapter 8, pp. 129		Café frequented by many during Cairo International Book Fair
المكتبة الجامعة	Bookshop	1920	1921	Haifa		Palestine		مكتبة يملكها جميل البحري ويوسف فارس							منصور، جوني. 2016. حيفا: الكلمة التي صارت مدينة، ص. 341-343	
